UniProt-AC Interactor A	UniProt-AC Interactor B	Interaction Score
A2RU48	True	True
P62888	False	True
A5A3E0	False	False
Q15050	True	True
P06132	True	True
P35637-2	False	True
P60709	False	False
Q99848	True	True
Q86TS9	False	False
O60507	True	True
