Uniprot_AC	nb_obs
Q9UIB8	1
P62829	75
Q96CU9	5
P62820	1287
Q5XPI4	58
P62826	541
P18615	13
Q5BKZ1	41
P51858	182
D1G0T0	46
P21453	5
P02743	55
P02741	5
O43913	1
P02747	31
Q9Y6G9	224
P02745	1
Q9BZE3	25
Q9Y6G5	7
Q9BZE1	11
P02748	26
Q8TAB3	5
Q9BZE4	4
P01210	12
O95967	17
P01213	10
Q9UKX2	100
Q9UKX3	129
A6NCE7	93
Q969K3	1
P43490	300
Q9H1U4	7
Q9H1U9	3
P35626	44
P35625	9
Q9UHD9	332
Q9UHD8	561
Q9UHD2	106
Q9UHD1	77
Q9UHD4	1
Q7Z5G4	6
Q92508	13
Q92506	50
Q92504	7
P08195	713
P23378	12
P17483	46
P20309	2
Q15256	2
Q5W0Z9	2
Q96HC4	80
Q6BDC5	13
Q58EX2	18
B1N7B6	7
Q6KCM7	32
Q13217	9
Q9H237	1
O75182	3
B1N7B8	36
Q71DI3	288
Q99685	122
P11229	4
P14618	6842
Q9BWW4	8
Q13015	1
Q99689	8
P63010	2203
Q2NKQ1	31
Q8NDY3	8
Q8N158	42
Q99436	55
P40145	2
Q96BR5	7
Q6UW68	37
Q15746	91
Q15742	6
Q86X76	193
O95502	24
O15439	4
P23763	167
Q9BQE9	2
Q9NYK5	25
Q99538	9
Q99536	518
Q9BQE3	42724
Q9BQE4	6
Q9BQE5	60
Q8NB25	5
P41091	96
Q96RS6	15
P40855	35
H0YF21	25
Q9NS69	68
B0YJC4	8409
Q9NX14	47
Q9NS61	2
P16190	112
Q16891	1263
H2EL73	89
P12755	1
Q9H6L5	2
Q9H6L2	1
Q9HD34	16
Q14839	107
M0R2S1	2371
Q9HD33	8
Q8ND83	5
Q8ND82	1
Q14833	16
Q14832	171
O14745	222
O14744	98
Q96I24	112
P22415	1
P22413	24
P15259	1026
Q9P2D1	6
P50402	166
P55160	21
A6NEL2	3
Q96IK1	4
P10599	280
Q14566	45
A0A087WYR4	467
Q9BR61	13
P52803	1
Q5JTH9	10
Q9ULF5	16
P55290	190
Q96C01	16
Q9P2P6	10
Q9P2P5	41
Q9NZB8	8
Q9BTS9	14
Q9H7J1	3
Q969X5	50
Q6P5R6	2
O60830	8
O60831	69
O60832	22
Q674X7	13
Q00169	274
Q9Y2V7	8
Q9Y2V2	92
A8MWX0	5
Q96EZ8	1
Q9P0J0	269
Q9P0J1	41
Q9P0J7	6
P29144	269
Q8NBJ7	19
A6NNA2	1
Q8NBJ5	11
Q8NBJ4	14
O75400	21
Q7LDG7	38
B4E1T1	3120
Q9BRX9	1
Q96S06	3
P01023	2351
P17677	2049
P17900	40
Q9Y4D2	4
Q13029	7
Q8TCE6	18
Q9Y4D7	30
Q13023	6
Q8IYJ1	155
Q8IYJ0	3
Q9H8G2	2
Q8TE49	5
P41212	1
Q7Z4L5	1
Q8N302	1
P43003	1354
Q92974	302
P43007	171
Q92973	157
P43005	2
P43004	2227
Q8WVF1	9
Q9BRQ0	2
Q8WVF5	2
Q9H2P9	2
Q99946	8
Q02446	1
Q8TC26	36
Q8TC27	1
Q99942	1
Q99943	40
Q9BSF4	18
Q9NPI1	3
Q5RI15	10
Q9BSF0	5
Q66LE6	124
Q96JJ3	60
Q96JJ7	53
Q7L8L6	11
Q6NT16	3
Q9UI26	16
P04179	870
Q7Z6J6	11
Q7Z6J0	3
Q05397	44
Q14249	1
Q14247	301
Q14244	10
Q14242	11
Q14240	675
Q14241	1
Q8IWX8	18
P24928	41
P15735	5
P07858	207
C5IWX4	122
Q7RTN6	7
Q96LT7	4
O94956	2
Q86YB7	2
O94952	9
Q14061	22
Q86XZ4	2
Q9NUR3	6
P16298	541
Q68E01	10
Q96EV2	1
Q9GZR7	9
Q9GZR1	1
Q16795	691
O14910	158
Q16798	428
Q16799	1031
P62280	97
O43347	28
O14917	12
P25786	253
P25787	185
P25788	135
P25789	165
O60220	16
O60229	124
Q8IZH2	1
Q10570	25
P13591	4901
Q75T13	25
P67936	810
P11413	245
Q9BUT1	129
P63220	34
P11142	6721
Q86SX2	9
Q9C0A0	65
Q86SX6	70
Q16134	92
E9PLD3	1
Q8TBB5	2
P80404	951
Q8TBB6	31
Q9UFW8	12
Q96GK7	163
H0Y5X5	7
Q13569	1
O95777	17
Q13564	107
O95772	4
Q9BY07	5
Q9BWJ5	8
Q8NE62	186
P01909	20
O00203	101
P01903	54
B4DFL4	126
A0A087WU33	193
Q9H2M9	270
Q9P2W3	1
O75167	3
Q9NV06	2
Q96AQ8	7
Q9UQ49	4
O95365	4
Q96AQ6	154
O95363	24
Q9Y625	53
Q9Y624	11
Q9Y623	102
Q9BV73	32
Q5VWX1	25
P24311	6
B7Z217	1036
P07686	50
Q9C040	636
E9PLY5	301
Q12965	33
P60866	92
Q9NXV6	10
H0YC82	71
Q9NXV2	1
Q12962	2
Q96CW5	24
Q9P253	113
P62841	44
P62847	59
Q6NZ67	4
Q01629	17
Q9P258	25
Q96CW9	1
Q06455	1
Q6ZW64	398
Q9Y509	210
H0Y579	44
Q9Y6Y0	2
Q9Y6Y8	28
Q9GZM8	29
Q9UKV8	44
Q209I5	34
Q9GZM7	742
Q9UKV3	95
P35606	248
P46199	42
P35609	1453
P42566	46
O76082	2
O76080	4
O76081	1
Q8NFU3	7
Q6P1M0	47
Q6P1M3	3
P42568	1
P39060	267
P78537	7
O60884	184
Q9Y6J0	1
Q8WY36	1
P00403	570
F8W9U4	326
Q95IE3	41
Q6ZMZ3	3
E7EMU4	122
Q92561	191
Q92563	8
Q92562	4
Q92567	3
P52566	99
P57087	30
P52564	32
P52565	855
P57088	61
P52569	1
Q5JV73	1
P20366	8
P10915	201
Q14477	5726
Q8WU76	20
Q8WU79	44
Q96HE7	81
D6RAL0	44
P10916	4
P08311	18
Q9H254	377
P08319	2
P21127	33
B5LZ18	49
P08670	9149
Q8TED0	1
Q8TED1	2
O43598	101
P07996	43
P07998	54
O43592	138
A5PLN9	3
P40121	194
O95563	57
P40123	469
O95567	28
Q8WUB8	2
Q96BP2	4
Q96BP3	2
Q9BQC3	2
Q86X55	43
Q13043	18
Q9NYI0	246
Q9NYI7	242
Q76N89	43
Q96RQ3	286
Q96RQ1	1
Q8N3U4	13
P29350	1
Q8IUI8	2
Q13177	250
P07333	35
P07339	1225
Q9HBW1	7
A4QPH2	68
P61764	9263
P61769	235
P69891	1657
P69892	1689
A0A087WVN6	44
P10606	342
Q9NZI2	1
Q9NZI7	5
Q9NZI5	10
Q9HD15	5
Q9UEW8	132
P62072	10
P62070	100
P62079	1
P50461	4
H7BYY1	701
Q9UJV9	3
