Uniprot_AC	nb_obs
Q9HD33	6
Q8NI51	2
O14745	285
O14744	63
Q96I24	132
P22415	2
Q9NZK5	2
Q8N5Y8	1
P22413	95
P15259	563
P50402	75
P55160	52
A6NEL2	2
M0R2X1	2
P10599	1186
Q14566	124
Q9BR61	3
Q96PE7	74
Q5JTH9	27
P55290	6
Q96C01	31
Q969X6	4
Q969X5	128
Q6P5R6	2
O60830	5
O60831	7
O60832	82
Q00169	86
Q9Y2V7	3
Q9Y2V2	189
Q9P0J0	68
Q9P0J1	6
Q9P0J7	1
P29144	376
Q8NBJ7	71
Q8NBJ5	53
Q8NBJ4	5
O75400	47
Q7LDG7	1
P01024	3157
P01023	2084
P17677	23
P17676	5
Q9Y4D1	2
Q8TCE6	13
Q9Y4D7	8
Q9Y4D8	8
Q9H8G2	2
P18283	22
Q8N300	1
Q86U17	7
P43007	23
Q86U10	19
Q9H2P0	9
Q92979	17
Q02447	3
Q99942	6
Q99943	17
Q9BSF4	4
Q9NPI1	1
Q5RI15	23
Q66LE6	15
Q96JJ3	27
Q96JJ7	10
P18135	154
Q9UI26	15
P04179	2036
Q7Z6J4	4
Q05397	21
Q14249	8
Q14247	250
Q14244	12
Q14242	3
Q7Z6J9	1
Q14240	444
Q14241	6
Q8IWX8	7
P24928	76
P19429	1
P15735	29
P07858	992
P52594	19
O94956	45
Q86YB7	377
Q14790	8
Q14061	51
Q86YB8	11
P16298	17
Q68E01	8
O00168	34
Q8NCU4	1
Q9GZR7	42
P15088	12
Q16795	224
O14910	23
P62280	205
O43347	2
P25786	308
P25787	269
P25788	170
P25789	244
O60220	77
O60229	1
Q8IZH2	27
P67936	632
P11413	126
Q9BUT1	143
P63220	180
P11142	4166
Q9BUT9	1
Q86SX6	123
Q16134	844
Q8TBB5	1
P80404	3428
Q15532	3
Q96GK7	315
Q76EJ3	1
F5H410	4
O95777	25
Q13564	40
Q13561	177
Q9BWJ5	20
Q8NE62	130
Q9Y275	1
Q9Y277	262
P01909	32
Q9Y279	4
O00203	52
O00204	6
P01903	119
Q9H2M3	803
Q9H2M9	57
Q9NV06	1
Q9BYK8	21
Q5BKT4	1
Q96AQ8	2
Q7Z333	1
Q96AQ6	34
O95363	4
Q9Y625	7
Q9Y624	59
Q9Y623	267
Q9BV73	1
Q9BV79	20
O15296	10
P15313	51
Q9C040	13
Q00577	64
Q12965	58
Q9NXV6	36
Q12962	10
Q96CW5	11
Q9P253	25
P62841	161
P62847	141
Q01628	25
Q9P258	70
Q14554	293
Q9H3F6	2
