path:mmu00920	Sulfur metabolism - Mus musculus (mouse)
path:mmu00970	Aminoacyl-tRNA biosynthesis - Mus musculus (mouse)
path:mmu00980	Metabolism of xenobiotics by cytochrome P450 - Mus musculus (mouse)
path:mmu00982	Drug metabolism - cytochrome P450 - Mus musculus (mouse)
path:mmu00983	Drug metabolism - other enzymes - Mus musculus (mouse)
path:mmu01040	Biosynthesis of unsaturated fatty acids - Mus musculus (mouse)
path:mmu01100	Metabolic pathways - Mus musculus (mouse)
path:mmu01200	Carbon metabolism - Mus musculus (mouse)
path:mmu01210	2-Oxocarboxylic acid metabolism - Mus musculus (mouse)
path:mmu01212	Fatty acid metabolism - Mus musculus (mouse)
path:mmu01230	Biosynthesis of amino acids - Mus musculus (mouse)
path:mmu01521	EGFR tyrosine kinase inhibitor resistance - Mus musculus (mouse)
path:mmu01522	Endocrine resistance - Mus musculus (mouse)
path:mmu01523	Antifolate resistance - Mus musculus (mouse)
path:mmu01524	Platinum drug resistance - Mus musculus (mouse)
path:mmu02010	ABC transporters - Mus musculus (mouse)
path:mmu03008	Ribosome biogenesis in eukaryotes - Mus musculus (mouse)
path:mmu03010	Ribosome - Mus musculus (mouse)
path:mmu03013	RNA transport - Mus musculus (mouse)
path:mmu03015	mRNA surveillance pathway - Mus musculus (mouse)
path:mmu03018	RNA degradation - Mus musculus (mouse)
path:mmu03020	RNA polymerase - Mus musculus (mouse)
path:mmu03022	Basal transcription factors - Mus musculus (mouse)
path:mmu03030	DNA replication - Mus musculus (mouse)
path:mmu03040	Spliceosome - Mus musculus (mouse)
path:mmu03050	Proteasome - Mus musculus (mouse)
path:mmu03060	Protein export - Mus musculus (mouse)
path:mmu03320	PPAR signaling pathway - Mus musculus (mouse)
path:mmu03410	Base excision repair - Mus musculus (mouse)
path:mmu03420	Nucleotide excision repair - Mus musculus (mouse)
path:mmu03430	Mismatch repair - Mus musculus (mouse)
path:mmu03440	Homologous recombination - Mus musculus (mouse)
path:mmu03450	Non-homologous end-joining - Mus musculus (mouse)
path:mmu03460	Fanconi anemia pathway - Mus musculus (mouse)
path:mmu04010	MAPK signaling pathway - Mus musculus (mouse)
path:mmu04012	ErbB signaling pathway - Mus musculus (mouse)
path:mmu04014	Ras signaling pathway - Mus musculus (mouse)
path:mmu04015	Rap1 signaling pathway - Mus musculus (mouse)
path:mmu04020	Calcium signaling pathway - Mus musculus (mouse)
path:mmu04022	cGMP-PKG signaling pathway - Mus musculus (mouse)
path:mmu04024	cAMP signaling pathway - Mus musculus (mouse)
path:mmu04060	Cytokine-cytokine receptor interaction - Mus musculus (mouse)
path:mmu04062	Chemokine signaling pathway - Mus musculus (mouse)
path:mmu04064	NF-kappa B signaling pathway - Mus musculus (mouse)
path:mmu04066	HIF-1 signaling pathway - Mus musculus (mouse)
path:mmu04068	FoxO signaling pathway - Mus musculus (mouse)
path:mmu04070	Phosphatidylinositol signaling system - Mus musculus (mouse)
path:mmu04071	Sphingolipid signaling pathway - Mus musculus (mouse)
path:mmu04072	Phospholipase D signaling pathway - Mus musculus (mouse)
path:mmu04080	Neuroactive ligand-receptor interaction - Mus musculus (mouse)
path:mmu04110	Cell cycle - Mus musculus (mouse)
path:mmu04114	Oocyte meiosis - Mus musculus (mouse)
path:mmu04115	p53 signaling pathway - Mus musculus (mouse)
path:mmu04120	Ubiquitin mediated proteolysis - Mus musculus (mouse)
path:mmu04122	Sulfur relay system - Mus musculus (mouse)
path:mmu04130	SNARE interactions in vesicular transport - Mus musculus (mouse)
path:mmu04136	Autophagy - other - Mus musculus (mouse)
path:mmu04137	Mitophagy - animal - Mus musculus (mouse)
path:mmu04140	Autophagy - animal - Mus musculus (mouse)
path:mmu04141	Protein processing in endoplasmic reticulum - Mus musculus (mouse)
path:mmu04142	Lysosome - Mus musculus (mouse)
path:mmu04144	Endocytosis - Mus musculus (mouse)
path:mmu04145	Phagosome - Mus musculus (mouse)
path:mmu04146	Peroxisome - Mus musculus (mouse)
path:mmu04150	mTOR signaling pathway - Mus musculus (mouse)
path:mmu04151	PI3K-Akt signaling pathway - Mus musculus (mouse)
path:mmu04152	AMPK signaling pathway - Mus musculus (mouse)
path:mmu04210	Apoptosis - Mus musculus (mouse)
path:mmu04211	Longevity regulating pathway - Mus musculus (mouse)
path:mmu04213	Longevity regulating pathway - multiple species - Mus musculus (mouse)
path:mmu04215	Apoptosis - multiple species - Mus musculus (mouse)
path:mmu04216	Ferroptosis - Mus musculus (mouse)
path:mmu04217	Necroptosis - Mus musculus (mouse)
path:mmu04218	Cellular senescence - Mus musculus (mouse)
path:mmu04260	Cardiac muscle contraction - Mus musculus (mouse)
path:mmu04261	Adrenergic signaling in cardiomyocytes - Mus musculus (mouse)
path:mmu04270	Vascular smooth muscle contraction - Mus musculus (mouse)
path:mmu04310	Wnt signaling pathway - Mus musculus (mouse)
path:mmu04330	Notch signaling pathway - Mus musculus (mouse)
path:mmu04340	Hedgehog signaling pathway - Mus musculus (mouse)
path:mmu04350	TGF-beta signaling pathway - Mus musculus (mouse)
path:mmu04360	Axon guidance - Mus musculus (mouse)
path:mmu04370	VEGF signaling pathway - Mus musculus (mouse)
path:mmu04371	Apelin signaling pathway - Mus musculus (mouse)
path:mmu04380	Osteoclast differentiation - Mus musculus (mouse)
path:mmu04390	Hippo signaling pathway - Mus musculus (mouse)
path:mmu04392	Hippo signaling pathway - multiple species - Mus musculus (mouse)
path:mmu04510	Focal adhesion - Mus musculus (mouse)
path:mmu04512	ECM-receptor interaction - Mus musculus (mouse)
path:mmu04514	Cell adhesion molecules (CAMs) - Mus musculus (mouse)
path:mmu04520	Adherens junction - Mus musculus (mouse)
path:mmu04530	Tight junction - Mus musculus (mouse)
path:mmu04540	Gap junction - Mus musculus (mouse)
path:mmu04550	Signaling pathways regulating pluripotency of stem cells - Mus musculus (mouse)
path:mmu04610	Complement and coagulation cascades - Mus musculus (mouse)
path:mmu04611	Platelet activation - Mus musculus (mouse)
path:mmu04612	Antigen processing and presentation - Mus musculus (mouse)
path:mmu04614	Renin-angiotensin system - Mus musculus (mouse)
path:mmu04620	Toll-like receptor signaling pathway - Mus musculus (mouse)
path:mmu04621	NOD-like receptor signaling pathway - Mus musculus (mouse)
path:mmu04622	RIG-I-like receptor signaling pathway - Mus musculus (mouse)
path:mmu04623	Cytosolic DNA-sensing pathway - Mus musculus (mouse)
