Uniprot_AC	nb_obs
Q9ULI3	37
P48047	2
Q16643	3
P16189	63
Q9NS71	4
P49327	3
Q9BW91	1
Q00973	22
Q16881	26
P09936	23
Q9BS26	33
P62424	2
Q8WZA1	251
Q8WZA0	1
Q9NS98	224
P50895	74
Q13740	715
Q9HC57	3
Q9UN70	60
O75829	1
Q9UN72	6
Q9UN73	6
Q9UN75	5
P35241	56
Q01955	1
Q15043	2
Q9BUD6	41
P21333	163
O43525	1
Q6UY11	22
Q6UY14	5
Q9NZJ5	1
O75533	6
P30566	2
Q96ID5	67
Q7Z3D4	2
Q86YZ3	220
Q96D05	5
P61106	21
Q10589	1
Q10588	26
Q00872	1
P56159	3
P01127	4
Q9Y281	23
Q96J42	8
Q9Y285	1
Q9Y287	33
Q9Y286	1
O00264	25
Q99943	1
P34810	5
P08865	8
Q9Y2E5	72
P08861	1
O75347	21
P55283	50
P55286	48
P60842	4
P55285	119
P55289	9
P13762	11
P13761	12
Q96C19	4
F6SYF8	3689
P13010	13
Q9NRX4	6
Q9NRX5	1
P09488	7
P27918	27
Q9UJ99	13
P05121	22
Q9H0Q3	3
O95185	23
P60174	153
O95183	1
O00461	36
O60610	2
O00462	210
Q76B58	2
Q9BRR6	7
Q96NI6	3
P45880	12
P03989	50
P10314	65
P28482	4
Q9P232	103
Q9H910	1
Q8NBK3	6
P08603	6092
P37108	1
Q9UIB8	13
P62829	2
Q86X55	1
P62820	15
P62826	10
Q96S16	4
P20916	39
Q6ZU80	1
O95989	5
P51858	1
P21453	4
O95980	40
P17661	12
P02743	86
P02741	38
P02747	165
P02746	330
O43916	17
O95297	6
P01031	1361
P02749	2467
P02748	1108
P01034	7507
Q8TAB3	24
P01036	6
P01037	7
P01210	183
O95967	37
P01213	7
O15054	64
Q9UKX2	6
Q6YHK3	165
P08519	78
A6NCE7	2
Q86TE4	10
P62736	315
Q9UH65	2
P15531	21
Q9H1U4	50
Q53RT3	5
Q9H7Y0	36
F5GWJ1	54
P42785	128
Q9NRV9	3
Q9H169	2
P21695	3
Q01484	2
P06331	147
P00450	7844
Q08380	510
Q9UHD9	7
Q9UHD8	3
P22087	6
P68371	167
Q9NPH3	18
Q5T3I6	820
Q92932	154
Q8NAU1	1
Q13103	2
P22061	84
P61964	1
Q6IS24	15
P61960	2
Q9HAR2	212
P61962	1
Q9UI15	15
P10114	3
P04745	54
P04746	56
P50991	9
Q6UWR7	49
P43146	199
Q9H4D0	78
O94813	1
Q14651	21
P50995	2
Q96HC4	7
Q8IWY4	25
O95433	2
Q13214	84
Q13217	49
O43684	7
P49321	13
Q9H239	1
Q9UGV2	3
P22792	169
Q13219	2
O75340	2
O75342	2
P14618	744
Q6IEE7	50
P11226	10
P25685	4
P13727	1
P63010	57
P25686	9
A6NL88	20
P42166	1
Q14019	22
Q4ZHG4	1
Q99436	2
Q15746	2
P40925	116
P33151	68
Q9NY61	1
Q96DB5	1
Q6ZSJ9	8
O95502	534
Q13361	6
Q9ULZ3	8
Q96FJ2	5
Q99538	85
P80723	74
Q99536	12
Q9BQE3	203
P23560	8
Q9UNZ2	6
O60234	9
Q9UKZ9	2
Q9NT99	312
P80297	4
Q9Y6G9	2
P68871	156
P11717	169
Q9Y2J2	8
Q05193	15
Q96JP9	6
Q12765	15
Q8IUK5	67
Q96FX8	1
P19526	3
Q8IUK8	17
Q9Y5C1	1
Q9ULH4	18
Q16653	60
Q8IWK6	3
Q9NS68	4
Q9NYZ4	1
P04439	74
Q9H6B4	9
P22352	133
Q16658	26
P16190	65
P09104	240
Q01459	129
Q16891	3
Q9UKZ4	17
Q9NS85	16
Q9NS84	4
P13489	45
Q9BX67	39
P22891	36
P22897	226
Q6MZW2	280
P80188	26
O14745	11
Q13591	7
P01859	6796
Q13595	2
P16442	1
Q9NZK5	60
P01857	7812
P22413	2
P15259	24
Q6ZVM7	1
Q9BY11	3
O60493	2
P30479	47
P10599	40
P31150	177
P31151	16
P83881	2
P31153	10
J3QKV7	1
P30711	4
O00217	1
O00214	2
P82987	12
Q9UMF0	120
P52803	34
Q15233	1
Q11201	1
P35030	63
P29218	45
Q96IY4	226
O00187	13
Q11206	2
P55291	103
Q5UCC4	4
P13716	3
P06309	216
Q9Y2J0	15
Q9NUQ7	1
P14923	150
P62942	39
Q3T906	1
Q12884	16
Q658N2	20
D6RCS5	1
O00451	131
Q00169	2
P07951	28
P18464	58
Q9NTU7	34
Q15714	1
P31025	4
P18463	60
P18462	59
O14594	675
O95197	1
O95196	43
Q6EEV4	1
P01732	1
Q9P2B2	2
P16615	4
Q9Y639	15
Q969Z4	7
P29322	2
P29323	31
P29320	1
P39059	50
P62834	9
Q8NBJ7	33
Q9P244	3
Q8NBJ4	223
P28325	1
P04196	1166
O75400	1
P02647	3323
Q04941	1
P01596	140
P01595	10
P01594	311
P01591	28
P09237	2
P01613	36
P04350	167
Q969H8	26
Q9UKK9	16
Q9H1B5	19
O95998	6
P01023	7102
Q08554	46
P17677	50
P17900	190
Q14C87	120
P16219	2
Q9P1F3	6
O43169	3
P08729	169
Q04695	683
Q9UQP3	4
P78371	18
Q9HBB8	1
B4E171	8
P08727	444
O15354	40
Q6UXB8	283
Q13790	10
Q9UKY0	4
Q9Y4D7	23
O95970	17
Q99832	15
Q9GZN8	1
Q16651	14
Q13813	41
Q01546	313
P78552	3
Q14DG7	45
Q9NRW1	11
A4D0V7	1
P48052	1
P43003	5
P01112	3
Q86U17	4
P06326	14
P07737	102
P43004	8
O75973	18
Q8WVF2	2
Q96BF3	1
O75976	23
Q99946	10
O75752	75
Q99944	2
P68366	161
E7EN28	215
P68363	247
Q99941	9
Q15828	51
Q96FE5	85
P54578	6
Q13126	5
P08476	15
Q86VZ4	46
P62854	1
P52758	28
P35527	4383
P61970	38
Q96JJ7	2
Q5VU97	162
P18136	522
P18135	520
P61978	13
P10124	13
P04179	86
P04279	11
Q14247	4
Q14242	1
Q14240	5
P54753	12
O95428	105
P54756	82
O94826	4
P06850	1
Q9BQR3	2
P06858	3
Q13201	5
Q13200	1
Q7Z3E5	1
P07858	264
O75197	2
Q8IW52	84
O75190	2
P08254	3
Q9UF33	12
P11233	1
O75356	1
Q9BWV1	21
O75354	11
P63000	11
O75351	1
P58215	12
Q16363	58
Q9UDW1	1
H0Y3Z8	2
P16298	4
Q9BPY8	1
P53634	67
Q13491	1
P05546	1079
O14910	1
P15085	16
P15086	38
Q16799	8
O14917	136
P67809	2
Q9NYJ7	2
P25787	6
P25788	2
P25789	6
Q9UG01	16
P10745	69
Q8N3T6	173
Q96RP7	1
Q8N3T1	18
O75534	2
P48751	2
O15372	1
P61158	5
Q9H1Z8	1
O15371	1
P13591	2391
O94779	28
Q8IZF2	7
Q9UQE7	1
Q8N3Z0	2
Q14517	74
Q12797	34
Q9NYX4	21
Q14103	6
Q99733	1
P48061	8
P67936	22
Q8NC67	6
P48066	1
P62191	1
O15511	1
Q5VUB5	20
F8W7I2	13461
P63220	6
P11142	215
Q9NU53	12
Q9C0A0	331
Q9NQX7	16
Q9NQX5	80
Q9NQX3	2
Q03405	23
Q03154	5
P10619	15
P50502	8
P80404	5
P30499	58
G3V2W4	4
P30492	55
P30493	65
Q9C075	5
P19957	2
O14773	209
P15260	2
Q9UQM7	72
P61088	7
O95777	6
P61086	3
Q9BUJ0	11
P16278	9
Q9BUJ2	1
P62266	8
P62263	2
Q86V81	1
P62269	1
O60486	6
P46783	1
P31146	12
Q9NZV1	16
P01909	11
P01906	9
P01903	31
Q9Y2G1	15
Q9H0U4	13
Q9Y2G5	2
Q9Y2G8	1
P08887	10
Q9HB40	5
Q15223	108
Q9H4F8	38
Q8NDZ4	1
Q9NZ45	1
P01767	51
P07195	244
P07197	5
P07196	4
P09132	1
Q96EP5	1
O76061	20
Q71U36	243
P05109	36
Q9UQ49	1
Q9Y2Q3	1
Q9BVH7	5
O00339	49
Q96AQ6	33
P05107	25
Q9UHB9	1
Q9Y625	29
Q9Y624	4
Q9Y623	4
P08174	183
Q8TBP5	3
Q16627	30
O95166	4
O95167	1
O95164	3
P06316	16
O15294	1
Q9P0K9	56
P01148	1
P13637	126
P07686	98
Q9C040	2
Q9BXN1	3
P18850	6
P52907	9
P62841	1
Q92187	4
H0YF92	19
Q92185	2
Q9P258	11
P04180	156
P02655	20
Q96CW9	8
P78410	3
P02656	73
P15880	4
P09228	3
P15882	1
Q9BXS4	4
Q9UM47	77
Q6PUV4	2
Q24JP5	392
P28799	67
P55809	2
Q8IVU1	1
O00534	2
O00533	3060
P00505	105
Q9Y6Y9	4
O15165	1
O15162	1
Q9Y240	47
Q53RD9	25
