Uniprot_AC	nb_obs
O14683	13
O14684	8
E7EX87	124
Q9UNE7	90
Q86XA9	7
Q00975	3
Q6FHJ7	44
Q6P6B7	3
Q86SZ2	50
Q00978	41
Q6P6B1	2
Q7Z2T5	65
Q9BYM8	49
Q7L2H7	177
P50895	747
Q8IY26	13
Q63HM9	50
Q5VU65	16
O95755	2
Q13586	125
D6RIF6	23
Q8WWC4	22
H7C3C4	8
P01824	16
O95759	7
Q6UY14	5
Q9BWH6	16
Q8NHV9	1
Q9BWH2	61
Q8NHV4	23
Q6YP21	121
Q8NHV1	6
O75069	12
Q9C0J9	4
Q9C0J8	81
P05014	1
Q10586	3
Q10589	86
Q68DK7	14
M0QZM1	1039
P05019	1
Q68DK2	18
Q96J42	20
O00268	21
O00267	375
O00264	464
P08865	597
P33947	33
Q9H2K0	13
Q7Z3Z4	4
Q7Z3Z0	266
Q9H2K8	67
Q9NQ55	34
P56559	1
Q9NQ50	27
Q96CS4	1
P56557	3
P56556	74
Q9NV29	5
O95347	179
Q9UQ26	3
Q6PK81	2
Q8IWV8	20
Q9H0Q3	9
P10451	73
Q86UA6	3
Q86UA1	79
Q6IQ22	107
Q14157	374
Q6ZVH7	7
Q8NBI6	6
H0Y8Y2	42
F8W543	322
Q9NQH7	28
Q12982	5
Q12981	39
Q8WVX9	2
Q12986	22
P29466	128
Q9Y605	12
Q9Y606	51
Q9Y600	2
Q8N6M3	5
Q8N6M0	36
Q9Y6V0	2
Q9Y6V7	4
Q7RTU1	1
Q7RTU7	1
P28330	16
P28331	547
Q9UIB8	5
P62829	299
Q96CU9	6
P62820	487
Q5XPI4	40
P62826	817
P18615	95
P51858	1263
P51854	83
P02743	339
P02741	59
O43913	24
O43914	10
Q9Y6G9	263
P02745	39
Q9Y6G5	38
Q9BZE1	70
P02748	553
Q9Y6G1	2
Q9Y6G3	7
O95967	195
Q5HYW2	10
Q9UKX7	61
Q9Y5J9	16
Q96QS3	25
A6NCE7	28
P43490	469
Q9H1U4	1
Q9BZG1	165
Q9H981	3
P35625	54
Q96CJ1	1
Q9UHD9	194
Q14571	124
Q9UHD2	147
Q9UHD1	136
Q9UHD0	3
Q9Y5J5	1
Q7Z5G4	30
Q92508	11
Q92506	73
Q92504	28
Q92503	2
Q6IS24	2
Q96I24	298
P08195	223
P23378	124
Q9NVV9	1
P17483	14
P17480	253
P17481	2
Q6UX15	1
P0CB43	53
Q96HC4	780
Q58EX2	27
Q13214	2
Q6KCM7	17
Q13217	148
Q9H239	1
H3BM57	1
Q13219	1
Q13017	73
Q99685	42
Q9BWW8	1
Q99683	59
P11226	13
Q9H8H3	200
P63010	913
Q2NKQ1	1
Q8N157	1
O75386	3
Q13449	27
Q6UW63	25
Q96BR1	15
Q96BR5	16
Q6UW68	89
Q15746	2310
Q96BR9	8
Q15742	53
Q15743	1
Q86X76	150
Q6ZSJ8	9
O15431	2
O95502	1
O95503	5
O15438	5
O15439	36
Q9BQE9	7
Q9NYK5	62
E9PF99	9
Q99538	67
Q99536	1103
Q9BQE3	5237
Q9BQE4	30
Q99081	23
Q8NB25	5
Q96RS0	17
P41091	331
Q96RS6	94
P40855	87
Q9UJT0	5
Q9UJT2	13
Q8IUK5	4
Q7L3S4	2
Q9NS69	117
Q9NS68	3
Q9NX18	5
H0YF27	7
P16190	631
Q16891	803
Q16890	53
P12755	2
A6NKF1	2
P13489	692
Q9H6L2	18
Q9HD34	32
C9J8T0	87
Q9HD33	40
Q8ND83	2
Q8ND82	36
O14745	187
O14744	273
P52824	2
Q8N5Y2	5
P22415	15
Q5TKA1	1
Q9NZK5	15
Q8N5Y8	7
P22413	216
P15259	641
Q9P2D1	18
Q96L73	8
P50402	222
P55160	84
A6NEL2	3
Q96IK1	22
A1A5D9	1
P10599	601
Q86TG7	36
Q8NCH0	16
Q14565	2
Q9BR61	23
Q96PE7	36
P52803	4
Q5JTH9	234
Q9ULF5	8
Q96C01	70
Q9P2P6	5
Q9P2P5	6
B7ZAV2	41
Q9NZB8	10
Q9P2P1	14
Q969X6	41
Q9H7J1	4
Q3T906	5
Q6P5R6	7
O60830	14
O60831	68
O60832	301
Q674X7	15
Q00169	299
Q9Y2V7	44
Q12874	255
Q9Y2V2	210
A8MXP9	1290
Q96EZ8	7
Q9P0J0	93
Q9P0J1	108
Q9P0J6	1
Q9P0J7	20
Q9UHF1	18
P29144	456
Q8NBJ7	195
Q8NBJ5	229
Q8NBJ4	52
O95171	6
Q8NBJ9	8
O75400	191
Q7LDG7	5
H0YBA1	103
P20155	1
P41218	120
O00522	4
P01024	7538
P01023	3731
P17677	18
P17900	79
Q9BSH5	131
Q13503	1
Q9Y3C5	1
J3KQN4	70
Q9Y4D1	16
Q8TCE6	35
Q9Y4D7	18
Q13023	1
Q9BXL7	12
P49842	1
Q8IYJ3	9
Q9H8G2	46
F8VRH0	199
Q9BRQ6	56
Q8N300	1
Q92527	1
P43003	12
Q92974	325
P43007	15
Q92973	478
Q92754	7
Q8WVF1	10
Q92759	8
Q6VUC0	2
Q9H2P9	15
Q02447	32
Q02446	4
Q8TC26	1
Q8TC27	4
Q99942	5
Q99943	43
Q99941	4
Q9BSF4	31
Q9NPI1	22
Q9BSF0	1
Q15040	1
Q66LE6	67
Q96JJ3	158
Q96JJ7	78
P18136	506
P18135	497
Q9UI26	124
P04179	603
Q7Z6J4	5
Q7Z6J6	1
Q7Z6J0	3
Q05397	196
Q14249	24
Q14247	767
Q14244	48
Q14242	1
Q14240	856
Q14241	26
Q8IWX8	187
P24928	330
C9IZY1	31
P15735	26
P07858	649
Q96SQ9	5
Q7RTN6	9
Q96LT9	3
Q96LT7	1
O94955	3
O94956	7
Q86YB7	8
O94952	34
O94953	3
Q14790	55
Q14061	39
Q86YB8	15
Q86XZ4	22
G3XAA2	141
P16298	101
H0YDN1	360
Q96EV2	86
Q8N680	2
Q9GZR7	207
P15088	51
P51460	1
Q16795	175
O14910	99
Q16798	78
Q16799	52
P62280	338
O43347	19
Q96FK6	9
Q7Z7D3	9
P25786	446
P25787	346
P25788	333
P25789	324
O60220	43
O60229	6
Q8IZH2	40
Q75T13	12
P67936	2370
Q15361	1
P11413	650
Q9BUT1	232
P63220	164
P11142	4058
Q9BUT9	6
Q86SX6	100
Q16134	105
Q8TBB5	3
P80404	110
Q15532	9
Q96GK7	192
P06311	39
Q7Z591	8
Q13568	2
Q13569	3
O95777	122
Q13564	245
Q8WWA0	1
Q8WWA1	4
Q13561	416
Q9BWJ5	50
Q8NE62	22
P78314	32
Q9Y276	88
H7BZW1	18
Q9Y277	364
P01909	59
O00203	302
P01903	240
Q9HBD1	2
Q9H2M9	283
Q96G28	9
Q9NV06	18
Q9BYK8	39
P22301	3
Q5BKT4	4
Q96AQ8	15
Q9UQ49	2
Q7Z333	24
O95365	20
O95361	23
Q96AQ6	188
O95363	8
Q9Y625	69
Q9Y624	120
Q9BV73	18
Q9BV79	59
P24311	5
Q16625	28
Q9C040	69
Q00577	183
Q8N9I0	9
Q12965	96
P43304	501
Q9NXV6	127
Q9NXV2	10
Q12962	20
Q96CW5	115
Q9P253	156
P62841	218
Q9UID6	5
Q96CW1	337
Q6NZ67	20
Q01629	55
Q9P258	440
Q06455	2
Q8WUQ7	15
Q9Y6Y0	18
P28482	521
Q9Y6Y8	251
Q06323	644
C9JMK7	14
Q53RD9	2
Q9GZM8	6
Q9UKV8	318
Q9GZM5	17
Q9GZM7	101
Q9UKV3	625
Q9UKV0	2
P35606	916
P46199	47
O60381	1
P35609	1216
P42566	185
O76080	6
Q8NFU3	57
Q6P1M0	37
Q6P1M3	50
P42568	2
Q07325	1
P39060	466
P78537	22
Q8TDB6	121
Q9Y6J0	19
P60709	17809
Q9BXF9	1
P00403	161
O00167	1
Q6ZMZ3	83
Q92560	9
Q92563	12
Q92562	13
Q92564	10
P52566	349
P57087	18
P52564	59
Q9HAT2	28
P42695	4
P42694	17
P42696	37
O60641	21
Q53FZ2	3
P57088	75
P52569	5
Q14315	3271
Q495W5	9
Q96HE9	1
Q8WU76	27
Q8WU79	23
Q96HE7	211
Q9Y3S1	26
Q9Y3S2	21
Q9H251	1
Q9H254	149
Q9H257	14
P08319	53
Q8TED9	5
Q8N9Z2	2
P08670	10490
Q8TED0	26
Q8TED1	76
P14635	18
P07992	9
O43598	188
P07996	1295
P07998	64
Q659A1	1
O43592	192
A5PLN9	11
O95562	5
O95563	34
P40123	84
Q8TDQ0	2
Q9Y283	1
Q6PII3	1
Q8WUB8	12
Q96BP2	16
Q96BP3	116
Q9BQC3	13
Q86X53	1
Q9BQC6	8
Q86X55	97
Q71F23	1
Q13043	133
Q9NYI0	6
Q59FP8	92
Q96RQ9	135
K7ENF0	11
Q76N89	2
Q96RQ3	267
Q96RQ1	17
Q8N3U4	188
Q9NQP4	78
P40692	30
P33778	2503
Q5TCI8	3492
Q8IUI8	48
Q9Y5E4	7
P07333	8
P07332	19
P07339	1005
Q8N960	2
P61764	92
P61769	208
Q8NI77	3
P10600	7
Q9BRC7	9
Q14814	34
P10606	298
Q9NZI7	34
Q9NZI5	2
Q9HD15	21
Q9NZI8	127
P62072	62
P62070	139
Q9NPF8	1
P62079	1
Q96II8	27
Q96L12	2
P55107	3
H7BYY1	1703
Q9UJV9	61
Q9HBR0	34
Q9BQG2	1
Q06643	15
P10145	3
Q9NUM3	1
Q9NUM4	15
P86452	1
B1ALY0	30
Q8NCN4	7
Q8NCN5	218
Q9P209	1
Q5JTJ3	49
Q9ULD9	5
Q96TA1	671
Q9ULD5	3
Q96TA2	51
Q96C23	197
Q9ULD2	8
Q9P2R6	18
Q9ULD0	108
Q6P3X3	51
P51153	139
P51151	60
P51157	17
Q9BTU6	53
Q9Y2P8	30
O60858	2
Q9UK80	1
O60583	3
Q9Y2P4	29
Q9UMX3	3
Q9UMX0	180
Q04864	18
Q9UMX5	84
F5H628	1554
Q13795	16
Q13797	83
Q13796	41
Q96NL8	5
Q13790	16
Q96EX3	2
Q96EX1	3
P18847	1
P18846	13
Q9Y478	57
Q9NVU0	25
Q9NVU7	56
Q00722	19
P02461	247
Q9Y3L5	71
P78406	259
P23141	237
P23142	1418
Q9Y3L3	106
P17655	906
F5GYZ5	531
P05204	249
Q9Y2H5	68
M0QXV3	26
P14384	33
Q9UM54	349
P01042	723
Q15029	858
Q6PJ69	8
Q15025	2
Q15024	40
Q15027	7
O00541	86
Q15021	82
Q15020	426
Q15022	16
F5H593	15
O00443	35
Q9H7H0	4
Q86V81	329
Q9UP38	24
O15173	213
Q9UI12	146
H3BNC9	45
Q9BXN1	162
Q8TCG2	1
Q8TCG1	17
O00442	110
Q9P1Z2	27
Q9P1Z0	6
Q5JWR5	8
Q9BX95	2
Q8WWW8	2
P62987	1431
P34741	34
Q9BVG4	117
Q8IY57	2
Q92954	5
Q86U38	48
Q92959	10
Q92777	2
Q9BVG9	11
Q9BVG8	3
P42229	369
Q99962	63
Q99963	6
Q99965	15
P08572	180
Q9UGP5	1
Q99969	42
P42224	1341
P42226	200
Q9UI46	4
Q9UI47	28
P22234	411
Q01459	21
Q5THK1	2
Q9BUZ4	1
P04150	23
P26439	20
P04156	51
P26927	19
Q96JH7	122
P26436	2
Q8IYH5	7
P49903	246
Q9H089	43
O75689	11
O75688	143
P0C5Z0	4
Q9H081	9
Q9H082	45
Q9H8E8	3
Q8N584	12
P19404	192
Q6NUM9	30
Q68CQ7	13
Q68CQ4	7
Q6NUM6	3
Q8N6R0	82
P54687	203
Q86YL7	4
Q86YL5	4
Q3LXA3	312
O14972	35
Q6Q0C0	3
Q9NUP9	137
O14976	146
Q8N7R7	30
