Uniprot_AC	nb_obs
Q969I3	15
P02743	923
P02741	107
O43913	26
P02747	428
Q9Y6G9	374
P02745	71
Q9Y6G5	25
Q9BZE1	303
P02748	1132
Q9Y6G3	9
P01210	4
Q9UKX5	15
Q9UKX7	228
Q9UKX2	2692
Q9UKX3	1743
A6NCE7	13
O95969	2
P43490	1906
Q9BZG1	461
Q9H987	9
P35625	78
Q9UHD9	502
Q9UHD8	1669
Q9UHD2	122
Q9UHD1	179
Q9UHD0	2
Q9UHD4	1
Q7Z5G4	15
Q92508	5
Q92506	307
Q92504	43
Q92503	1
P08195	1136
P23378	321
P0CB43	91
Q96HC4	1443
Q58EX2	1
Q13214	4
Q13217	336
O75185	1
O75182	1
Q13219	16
Q13017	32
Q99685	288
P14618	11881
Q5TBC7	214
P11226	40
Q9H8H3	770
P63010	2665
Q8N159	4
Q13449	35
Q6UW63	6
Q96BR1	11
Q96BR5	15
Q6UW68	189
Q15746	6044
Q96BR9	2
Q86X76	245
Q6ZSJ8	5
O15431	2
O15438	179
O15439	14
Q9NYK5	173
Q9NRY5	76
Q99538	291
Q99536	1908
Q9BQE3	17710
Q9BQE4	22
Q9BQE5	184
Q96RS0	2
P41091	1399
Q96RS6	154
P40855	22
Q8IUK5	2
Q9NS69	352
B0YJC4	15830
Q9NX18	8
H0YF27	23
Q9NX14	85
P16190	2208
Q16891	2759
Q16890	47
P13489	2865
Q9H6L2	1
Q9HD34	30
Q14839	972
Q9HD33	40
O14745	1005
O14744	531
H0YA98	64
Q96I24	633
P22415	6
P16442	2
Q9NZK5	9
P16444	374
P22413	50
P15259	877
P50402	639
P55160	124
A1A5D9	8
P10599	1200
Q8NCH0	5
Q9BR61	8
Q96PE7	109
Q5JTH9	503
Q9ULF5	1
Q96C01	65
Q9P2P6	44
B7ZAV2	84
Q9BZ95	1
Q969X6	68
Q13951	112
Q6P5R6	23
O60830	22
O60831	177
O60832	661
Q00169	404
Q9Y2V7	102
Q9Y2V2	160
O95178	8
Q969X1	132
Q9P0J0	221
Q9P0J1	72
Q9P0J7	82
P29144	1736
Q8NBJ7	419
Q8NBJ5	361
Q8NBJ4	416
Q9UL25	558
Q8NBJ9	1
O75400	208
Q7LDG7	3
Q9NPF0	1
O00522	2
P01024	17502
P01023	11191
P17677	100
P17900	112
E7EQM6	10
Q9UN70	1
Q9Y4D1	11
Q8TCE6	11
Q9Y4D7	34
Q13021	1
Q8IYJ3	31
Q9BRQ6	42
P18283	524
Q8N307	1
P43003	6
Q92974	169
P43007	28
Q6AI08	9
P43005	6
Q86WX3	3
Q9H2P9	3
Q02447	9
Q02446	1
Q99943	32
Q9NPI6	22
Q5RI15	136
Q9BSF0	2
Q66LE6	141
Q96JJ3	59
Q96JJ7	130
P18136	1372
Q9UI26	78
P04179	1913
Q7Z6J4	3
Q05397	126
Q05823	31
Q14247	1557
Q14244	118
Q14242	6
Q5VTQ0	21
Q14240	2868
Q14241	7
Q8IWX8	118
P24928	344
C9IZY1	11
Q8IWX7	2
P15735	7
