Uniprot_AC	nb_obs
Q08623	4
O15061	1877
Q13825	4
Q9NP72	19
P49959	9
Q9HB19	1
Q01804	2
Q96AM1	15
Q5T013	18
O43143	24
Q86UY8	14
Q01813	254
P49792	28
B0I1T2	2
P56545	7
Q9Y2Z0	27
Q9H2J4	10
Q9Y2Z4	3
Q93009	37
Q93008	49
P51114	13
Q00341	53
Q00610	499
P29508	28
Q00613	1
P35813	13
P78356	9
P30512	35
O95336	43
O60814	291
O60547	8
O43633	9
Q9UQ13	2
Q9Y2T2	9
Q15173	4
Q15172	8
Q9UJ68	5
P09496	7
P09497	13
O15243	2
O00478	1
O00479	2
O15247	16
P01714	13
P01893	34
Q5VZ89	8
Q15375	5
Q96T76	5
Q9BT40	3
O00471	16
Q15370	12
Q9P0L0	58
Q12996	2
Q32MZ4	32
P29474	2
Q9H477	1
Q9Y617	9
Q969T9	4
P03897	3
P07476	58
P07477	5
P09543	41
Q08174	2
Q01105	32
P35250	2
Q08170	8
Q8IY17	10
Q8IY18	1
Q8IWE2	32
P22061	52
Q7Z2T5	2
Q92734	7
Q9UGM6	4
Q96AB3	10
P60201	2
Q96SM3	4
Q9UIA9	16
Q00765	31
P18669	220
P20340	16
Q9NVQ4	1
P32455	43
Q5U5X0	2
P05387	19
O00506	6
P00533	12
O00505	20
Q9C0E2	3
Q4G0N4	25
Q9Y4P8	5
Q9BXP2	1
Q8TEA7	1
Q4V328	3
Q9NRZ5	1
Q9Y4P3	4
Q9C0E8	18
Q9BXP5	11
O43924	5
Q8IZ07	13
Q9Y6D5	6
O43920	13
P02753	16
P08708	24
P32856	3
Q13107	4
P29692	48
P05388	37
P43155	21
P61964	3
Q96CX6	1
Q92600	1
Q68EM7	9
Q16854	1
Q86UX2	50
O75391	2
O75390	57
Q92608	1
Q92609	4
Q96AC1	328
P52272	130
Q9BZJ3	78
Q9BZJ0	1
Q6NYC8	10
P28906	14
O75882	4
P08195	15
E7EVA0	103
Q99983	1
Q9BSJ8	113
Q6EMK4	8
P04066	8
P09871	43
P35658	2
P62701	63
Q9BSJ2	10
Q8NFP9	11
Q9H993	11
P27694	22
P27695	51
O75953	8
O00567	21
O75955	57
P17858	119
O00560	17
Q08379	4
Q08378	21
Q9H7Z7	16
P00441	61
P47914	2
P80419	1
Q9BSD7	9
O94979	27
Q16513	18
P42773	6
P69891	121
Q09028	19
Q9NYF8	6
Q00587	1
Q9BY67	3
Q99497	101
P55157	2
P14174	70
Q9NRG1	2
P35443	1
P53602	3
Q15165	7
P54886	11
Q5T1J5	3
Q13136	3
Q13131	29
Q8TC07	6
Q9NXE4	1
Q14134	6
Q8WVV9	13
Q14137	1
P62633	12
Q9UI09	13
P23368	26
Q9UKG1	40
Q8N4X5	2
P17096	3
P46783	19
Q14139	16
P46781	32
Q9C0C9	6
P00395	1
P40938	1
O43653	3
P54803	2
Q10588	9
Q15008	16
O43657	1
Q8NEN9	1
O75787	1
P61956	10
Q5TBB1	1
O95400	2
O94804	7
O43707	1618
Q9NQX3	8
P01703	6
Q14642	5
Q14643	92
Q5T0B9	1
Q5SY16	1
O95292	31
Q8TD16	2
Q99456	11
P04632	63
Q9Y6C9	41
O75175	1
Q16864	2
Q9H4G0	26
Q8NE01	2
Q99459	4
Q8TD19	34
Q13228	264
Q7Z6Z7	75
P02750	71
P11217	128
Q9Y6G9	23
Q9BSL1	6
O00408	18
Q9Y228	1
Q16512	2
Q6QEF8	12
Q9Y4Z0	7
Q14004	2
Q14005	3
Q14008	26
Q8TDX7	20
P01871	423
P19224	12
Q15773	1
Q15772	5
Q8NCW5	26
Q9NUT2	1
Q8TBQ9	1
Q9HA77	2
P40937	1
O75113	1
Q96F63	1
Q9UFC0	1
O00401	3
P35579	1472
Q8WUA2	2
Q86W92	7
O43324	10
O14933	1
P31943	54
I3L4J1	12
Q9Y5P4	10
Q99523	2
P31947	24
P31946	121
P31944	3
H0YJH7	9
O15400	12
P31949	35
Q8NB37	5
O15405	1
Q8N6Y2	1
Q5F1R6	3
P61601	15
P60604	2
P60602	4
P61604	30
Q96RR4	4
Q3KRA6	1
P63151	26
Q9H0V9	2
Q6UX07	1
Q14914	49
P24821	107
P29400	77
Q9UJU6	49
P60953	55
P50416	21
Q6P1L8	1
Q9UHY1	5
P22570	7
Q7Z5N4	2
P06454	18
P61421	3
Q9Y5B9	12
H0YK48	608
O95218	3
O14684	5
Q9BTW9	13
Q9Y6G5	1
P48047	64
Q16647	129
O15530	3
Q9NX08	2
O43681	26
P16188	40
Q9UNE7	16
O95622	3
P38606	41
E5RFM9	12
Q9Y217	6
Q9UPQ0	8
P49327	110
Q5R372	3
Q16881	167
Q9UK45	1
Q99447	12
Q86SZ2	3
Q9HCG7	2
P09936	73
P33897	2
Q9H0C8	1
Q7L7X3	3
Q13576	35
Q03426	4
Q9BS26	20
Q9HBI0	1
M0R278	68
O95833	1
Q9BPX6	2
Q8WZA0	9
Q9BPX5	11
Q8ND90	4
P50895	71
P39023	47
Q8ND94	1
Q15427	1
Q9HD20	9
Q96EM0	9
Q13572	6
B5MCI0	188
Q9NYL9	20
O75828	77
O14756	4
Q8N5X7	4
O95757	24
Q9NZJ9	5
Q07507	36
P16452	5
P01825	8
Q9NZJ6	5
O95758	9
E9PGC8	83
P16455	4
Q9NUB1	7
P46439	35
Q96E39	21
P30566	19
Q7Z3D6	46
P08842	1
Q9BWH2	10
Q9C037	2
Q8NHV4	2
Q9BVV7	1
Q6YP21	7
Q8NHV1	3
P62277	24
Q9NW15	8
Q92482	1
Q99685	6
P61106	56
P10586	5
P38159	26
Q10589	4
O75821	18
M0QZM1	79
Q68DK2	1
P13164	8
Q9Y281	88
O14966	5
Q9Y282	3
Q9Y285	32
Q9Y287	2
O00267	8
Q9UJA5	1
O00264	42
Q9HB21	3
Q9Y2E4	13
Q9Y2E5	1
Q6P3W7	4
Q9NSY0	2
Q96IZ0	16
Q9BWM7	24
Q06124	38
Q8N264	1
Q8TDH9	1
P15374	11
Q13488	2
Q9H9E3	2
Q9UN70	1
P56557	1
P56556	13
P13761	15
Q96C19	17
P13010	104
O00499	86
Q9NRX4	12
Q9NRX5	2
P78362	2
Q9Y2W1	5
O60551	4
P27918	2
Q9BVJ6	1
Q8TDZ2	38
O75558	1
Q8IWV8	4
Q6NW29	1
P09486	4
Q9H0Q3	1
Q9HCY8	5
Q2PPJ7	4
P62805	426
P60174	362
P80303	16
O95182	9
O95183	7
A2A3N6	7
Q9P2A4	1
Q96PY6	1
P01721	8
F8W543	18
Q9BRR6	2
Q9NZW5	1
Q8NF37	1
Q9Y608	17
P29466	6
Q9Y605	1
P57735	3
P57737	5
Q93100	8
P28482	53
Q9Y3I1	1
Q9Y3I0	57
P00966	28
P08603	292
O75410	16
P28331	94
Q8N201	1
P62829	27
P17931	78
Q96KQ7	1
P62820	42
Q8IVB5	2
Q5XPI4	7
Q8IYU8	2
P62826	32
Q5T2E6	3
Q9C0D5	3
P06732	99
P55822	1
O95989	10
P06733	626
O95985	1
P29992	59
Q9Y4W6	29
Q8TCJ2	14
Q96S19	9
P02743	62
P02741	14
Q8TBX8	6
P02747	21
P02746	22
P02745	4
O95297	2
O95298	18
O95299	31
P02749	67
P01033	3
