Uniprot_AC	nb_obs
Q9BUE6	1
P01833	141
Q86SK9	4
O95741	19
Q9H6R4	1
Q9BXJ0	1
P16422	21
Q9NZM1	124
O95749	2
O95278	2
Q01968	2
P37235	38
A6NNZ2	1094
O15212	13
P68402	36
P30511	118
Q9BV23	10
O43264	1
P22626	1320
Q8N5G0	6
P13598	24
Q9Y676	6
Q96D71	4
P05067	14
Q68DD2	4
Q5T6J7	5
P05062	3403
P19256	2
Q7Z4H3	10
P51606	89
O75746	109
Q96GX9	15
P36955	53
O95249	3
Q9UHD8	107
Q9Y296	5
P37837	319
Q86V21	1
Q9Y295	16
P27144	478
Q6UXN9	14
Q6WCQ1	67
Q9H9J2	4
P03886	59
Q08623	5
O15061	2
P55072	812
P17066	773
Q9UBB6	1
Q13505	51
Q6IA17	1
P49959	4
Q9HB19	1
Q9UBB5	3
P48426	11
O14639	1
Q5T013	10
P29279	2
Q9Y2Z9	13
P53803	1
Q01813	48
P49792	10
P56545	19
Q9H7F0	1
Q9Y2Z0	21
P23588	33
Q9Y2Z4	7
Q93009	45
Q93008	69
P51114	9
Q00341	79
Q00610	4062
Q53EU6	1
O76031	9
P35813	43
P78356	5
Q01740	103
P30512	480
O95336	139
O60547	20
Q86WQ0	2
O43633	6
Q9Y2T3	159
Q9Y2T2	19
Q15172	2
Q9UJ68	76
P09496	64
P09497	28
Q9HCD6	2
O15243	1
O00478	5
O00479	10
O15247	90
P01714	29
Q8N8Y2	11
Q96KP4	1689
P01719	5
Q96T76	7
Q9BT40	4
O00471	17
O00476	5
Q15370	44
J3KPV7	201
Q9P0L0	90
O15084	6
Q12996	3
Q32MZ4	21
Q969T7	1
Q9NXS2	1
P29474	4
Q9Y619	1
Q14671	1
Q9Y617	186
Q969T9	2
P03897	4
P07477	9
Q12802	2
Q08752	3
P32929	28
P30039	403
Q96F25	1
Q8TDX7	4
Q08170	21
Q8IY17	21
Q8IWE2	1
P03973	1
P30510	594
Q92734	19
Q9H773	4
Q92736	19
P43026	1
Q9HB71	32
Q9UIA9	50
Q00765	52
Q6ZW31	2
P20340	158
Q13790	12
P32455	15
Q5U5X0	2
Q9P227	3
O00506	12
P00533	10
Q13103	10
Q9C0E2	8
Q6RW13	8
O00501	4
Q9BXP2	2
E3W994	9
Q4V328	15
Q9Y4P3	4
Q9C0E8	6
Q9BXP5	14
O43924	2
P63302	1
Q9Y6D5	9
O43920	21
Q6ULP2	1
Q9Y6D6	9
P08709	1
P08708	31
P32856	12
Q99611	19
Q86T03	2
P78344	12
P12109	3485
P43155	81
Q9BXB5	2
Q92600	1
Q68EM7	4
Q86UX2	132
O75390	271
O75396	116
Q96AC1	210
O75394	2
P0DI81	2
O75558	17
O75886	3
P28906	121
O75882	19
O75880	21
E7EVA0	98
P13611	37
Q9BSJ8	177
Q6EMK4	65
P04066	26
P09871	12
Q5SRE7	34
P62701	78
Q9BSJ2	7
P15502	1
Q8NFP9	12
Q9H993	31
P27694	22
P27695	100
Q02818	82
O00567	18
O75955	288
O75954	13
O60237	1
O00560	71
Q08379	6
Q08378	24
Q9H7Z7	89
P00441	622
Q9BSD7	12
O94979	66
O75083	515
O43252	2
P69891	1830
Q09028	74
Q9NYF8	7
Q9BY67	1
Q99497	394
Q8TAF3	1
P55157	43
P14174	157
Q96D96	1
P53602	2
P20618	123
P54886	12
Q5T1J5	7
Q13136	4
Q13131	18
Q8TC07	5
P28838	422
Q9UPM9	2
Q9UI08	11
P10109	11
P23368	16
P52272	411
Q8N4X5	11
O60925	10
P46783	77
P46782	100
P46781	60
Q9Y4Z0	4
P31513	7
P46013	15
O43293	3
P61952	6
Q8NEN9	1
O75787	3
P61956	24
J3KNF8	198
O43432	3
J3KS54	23
O43707	22678
P08047	8
Q14643	11
Q5T2T1	1
O14802	1
Q6P4A8	5
Q99456	42
P04632	186
Q16663	1
Q9H227	12
Q16864	44
Q99459	7
Q8TD19	17
Q8WUW1	11
Q96LZ7	3
P08237	92
O60476	1
P11217	55
Q9Y6G9	19
Q9BSL1	1
O00408	8
Q96I15	26
Q16512	1
Q16513	7
P43353	36
Q9Y223	1
Q8N142	19
Q14008	10
Q8NC96	1
Q8WY22	5
O14641	1
P19224	179
P08236	56
P01709	5
Q8NCW5	58
Q9NUT2	5
Q8NCW6	1
O15258	19
Q6UW78	2
Q9HA77	20
Q9NP61	1
Q8WUA8	1
O43290	5
O00401	13
Q08AD1	1
P35579	9862
Q9BWF3	27
O43325	1
O43324	40
O14933	4
P82914	2
Q9GZT6	10
P31943	437
P31942	464
Q9Y5P4	4
Q99523	14
P31946	945
Q8N1F7	8
Q8N1F8	1
O15400	147
P31949	116
P31948	141
Q96DA6	4
P61601	21
P17096	7
Q8IZJ1	3
P60602	3
P61604	215
Q9BSV6	1
Q8NI22	5
P63151	33
Q13905	1
Q49A26	12
Q14914	406
P49585	7
P23193	6
Q8N6R0	1
P29400	310
Q9UJU6	69
P60953	362
P50416	116
Q9BQ48	2
Q8NDV1	2
Q9UHY1	3
P06454	44
P61421	84
Q9Y5B9	20
H0YK48	551
O14683	2
H7C144	7490
P48047	428
Q16647	1
Q9P0U1	1
Q9NX08	13
Q16643	236
P16188	579
Q9UNE7	28
P38606	523
Q9NX00	1
Q9Y217	2
Q9UPQ0	21
Q13217	40
O75452	3
Q5R372	1
Q16881	83
Q9UKM9	47
Q99447	39
Q86SZ2	3
Q00978	1
P09936	96
Q9BYM8	2
Q9H0C8	3
Q7L7X3	1
Q13576	689
Q8WZA9	5
Q9BS26	83
Q92685	1
P11308	1
P14207	2
P49356	1
Q9BPX1	6
Q8WZA0	12
Q9BPX5	63
Q8ND90	14
P50895	861
Q13740	18
O75822	13
Q9NSA3	1
Q15427	10
Q9HD20	7
Q96EM0	22
Q8IY21	4
Q9UQN3	1
Q63HM1	19
Q9NYL9	167
Q9BZL1	6
Q01955	65
Q13586	6
Q9NZJ9	7
Q5VTR2	4
Q07507	67
O95834	41
P16452	34
Q969I3	101
P01825	69
P01824	3
Q9NZJ6	6
O95758	11
Q15517	1
P16455	12
O75533	85
Q96E39	52
P30566	32
P80511	6
Q9BWH2	24
Q8IXJ6	3
Q8NCE2	1
Q6YP21	8
P55001	9
P18621	26
Q9NW15	3
Q92482	2
Q9Y6U3	62
P61106	369
H0YM50	2365
P10586	13
Q96HP0	3
P38159	70
Q10589	58
P51610	6
Q92688	65
P13164	48
Q9Y281	193
O14966	16
Q9Y285	24
Q9Y287	13
O00267	1
O00264	168
Q96AA3	1
Q9UJV9	1
P08865	194
P33947	11
P11678	6
P46019	11
Q6P3W7	1
Q9H1H9	13
E9PAM4	25
Q7Z3Z0	907
Q8WZA2	1
Q9BWM7	78
Q06124	22
Q9NQ50	6
P55287	5
P55285	11
P14543	3162
P56557	1
P56556	33
P13761	176
Q8NC51	51
Q6NY19	17
Q5W111	5
Q6Y1H2	2
Q9NRX4	38
Q6P1Q0	1
P04229	277
Q9NRX2	10
P09488	87
O95340	5
Q9Y6G3	1
Q9BVJ7	22
P62807	1617
P78347	13
P52657	2
Q8IZR5	1
P08174	1
P09486	7
Q9P1Z9	40
P10451	3
Q96SZ5	5
C4AMC7	6
P60174	1788
Q6IQ22	102
O95182	29
O95183	26
O00461	34
Q9P2A4	1
O00462	3
Q495M3	61
Q9BRR6	3
Q12981	4
Q9Y608	7
P30450	629
P03989	754
O75175	1
P57735	9
Q9Y606	4
P28482	113
Q9Y3I1	3
Q9Y3I0	117
O75414	4
P08603	443
P28332	104
P28330	29
P28331	460
Q8N201	2
P62829	37
Q96CU9	1
Q8IYU2	1
Q68D91	29
P62820	543
Q9NVV0	1
Q5XPI4	5
Q8IYU8	1
P62826	150
O00515	10
Q5BKZ1	2
O95989	5
P51858	105
Q9Y4W2	1
P18583	19
Q6DN90	6
P29992	108
O00519	3
Q8TCJ2	22
Q96S19	2
P02743	257
P02741	20
Q8TBX8	12
P02747	19
P02746	30
P02745	6
O95298	24
O95299	151
Q9BZE1	10
P02748	355
P01034	14
O15347	3
P43307	29
P08514	3
F8W031	90
Q8TCD5	39
Q9Y4E1	11
Q9UKX2	32
Q92614	22
Q6YHK3	43
P05177	2
Q9Y4E8	2
P08519	33
Q6PHW0	10
Q13033	6
P43490	42
O75569	17
Q9BZK7	3
O60701	111
Q9UH65	23
Q9Y6I3	21
P45985	3
Q96CW5	2
Q8TE77	4
Q96P70	18
Q9Y6I9	1
Q9Y6E2	4
Q14344	66
