Uniprot_AC	nb_obs
Q8NHV4	15
Q6YP21	169
P23975	3
O60243	1
Q9C0J8	31
Q10589	36
Q10588	45
M0QZM1	435
Q68DK2	7
Q96J42	8
O00268	10
O00267	167
O00264	396
P08865	355
P33947	31
Q9H2K0	6
Q7Z3Z4	8
Q7Z3Z0	258
Q9H2K8	61
Q9NQ55	13
Q9NQ50	17
Q9NV23	1
P56557	5
P56556	45
O14757	1
O95340	138
O95347	42
Q9UJ98	19
Q8IWV8	15
Q9H0Q3	23
P10451	7
Q9H0Q0	67
Q86UA1	22
Q14157	132
P43234	1
Q8NBI6	4
F8W543	221
Q9NQH7	26
Q12982	5
Q12981	26
Q12980	1
Q12986	7
P29466	13
Q9Y605	3
Q9Y606	14
Q5T6F2	17
Q8N6M3	11
Q8N6M0	23
Q9P232	1
Q9NP55	3
P28330	14
P37108	164
P62829	156
Q96CU9	4
P62820	418
Q5XPI4	64
P62826	497
P18615	36
Q5BKZ1	36
P51858	310
P51854	198
P02743	316
P02741	46
O43913	4
P02747	60
Q9Y6G9	149
P02745	25
Q9Y6G5	35
P02749	572
P02748	385
Q9BZE4	29
P01210	4
Q9UKX5	56
Q5HYW2	8
Q9UKX7	26
Q9UKX2	150
Q9Y5J9	12
Q96QS3	7
A6NCE7	34
P43490	361
Q9H1U4	1
Q9BZG1	136
P35626	11
P35625	33
P45983	52
Q9UHD9	118
Q9UHD8	687
Q9UHD2	86
Q9UHD1	62
Q7Z5G4	22
Q92508	1
Q92506	74
Q92504	40
Q92503	5
Q9HAR2	9
P23378	7
P17480	98
P0CB43	18
Q96HC4	446
Q13214	947
Q6KCM7	8
Q13217	85
Q9H239	12
Q9H237	4
O75185	1
Q13219	110
Q13017	67
Q99685	30
Q99683	50
Q9BWW4	11
P11226	7
Q9H8H3	206
P63010	712
Q09161	136
Q8NDY3	1
Q8N158	11
Q13449	34
Q6UW63	13
Q96BR1	16
Q96BR5	9
Q6UW68	70
Q15746	3901
Q96BR9	3
Q15742	3
Q86X76	134
Q6ZSJ8	3
O15431	2
Q01850	2
O95503	2
O15438	9
O15439	64
Q9NYK5	23
Q9NRY5	75
Q99538	43
Q99536	1144
Q9BQE3	3651
Q9BQE4	22
Q9BQE5	60
Q8NB25	3
Q96RS0	4
P41091	277
Q96RS6	54
P40855	44
Q9UJT0	10
Q9UJT2	22
Q9NS69	65
B0YJC4	4025
Q9NX18	2
Q9NX14	25
P16190	218
Q16891	480
Q16890	21
P12755	1
P13489	593
Q9H6L2	9
Q9HD34	25
C9J8T0	54
Q9HD33	15
Q8ND83	4
Q8ND82	15
O14745	127
O14744	186
H0YA98	14
Q96I24	210
P22415	2
Q5TKA1	4
Q9NZK5	2
Q8N5Y8	6
P22413	161
P15259	494
P50402	154
P55160	27
Q9P2D6	1
Q96IK5	1
Q96IK1	3
P10599	393
Q86TG7	10
Q8NCH0	5
Q14565	1
Q9BR61	15
Q96PE7	35
P52803	2
F8VV04	185
Q5JTH9	82
Q9ULF5	10
Q96C01	25
Q9P2P6	7
Q9P2P5	6
B7ZAV2	20
Q9NZB8	1
Q9P2P1	3
Q13952	13
Q9H7J1	6
Q969X5	192
Q6P5R6	2
O60830	14
O60831	70
O60832	128
Q00169	272
Q9Y2V7	34
Q12874	157
Q9Y2V2	101
Q5TFG8	2
Q96EZ6	1
Q9P0J0	55
Q9P0J1	74
Q9P0J7	5
P29144	368
Q8NBJ7	213
A6NNA2	1
Q8NBJ5	112
Q8NBJ4	28
Q8NBJ9	6
O75400	62
Q7LDG7	3
H0YBA1	41
P20151	14
P20155	8
O00522	8
Q96S06	10
P01023	4336
P17677	56
P17900	58
Q13029	3
Q8TCE6	19
Q9Y4D7	6
Q9BXL5	6
Q8IYJ3	4
Q9H8G2	6
Q7Z4L5	31
P18283	21
Q8N300	1
Q8N302	1
Q86VY4	64
P43003	3
Q92974	53
P43007	8
Q6AI08	13
Q9H2P0	64
Q8WVF1	14
Q92759	9
Q92979	18
Q02447	12
Q8TC26	2
Q8TC27	9
Q99942	3
Q99943	45
Q99941	1
Q9NPI6	8
Q9NPI1	8
Q5RI15	32
Q9BSF0	11
H0YAB3	269
Q66LE6	76
Q96JJ3	111
Q96JJ7	57
P18136	270
P18135	267
Q6NT16	1
Q9UI26	92
P04179	648
Q7Z6J6	5
P07864	167
Q05397	99
Q05823	23
Q14247	329
Q14244	30
Q7Z6J9	7
Q14240	658
Q14241	10
Q8IWX8	55
P24928	146
C9IZY1	17
Q8IWX7	20
O43699	1
P15735	20
P07858	288
Q6X9E4	1
Q7RTN6	11
O43692	4
Q96LT9	1
Q96LT7	1
O94956	1
Q86YB7	32
O94952	34
O94953	3
Q14790	3
Q14061	35
Q86YB8	21
Q9NQC3	631
P16298	113
H0YDN1	247
O00168	15
Q96EV2	8
Q9GZR7	78
P15088	110
P51460	11
Q16795	115
O14910	52
Q16798	84
Q16799	26
P62280	196
Q96FK6	1
P25786	340
P25787	242
P49427	15
P25789	248
O60220	23
O60229	8
Q8IZH2	29
Q75T13	8
Q96MR6	2
P67936	2243
P23526	668
P11413	812
Q9BUT1	229
P63220	95
P11142	2534
Q9BUT9	1
Q86SX6	70
Q16134	99
Q8TBB5	7
P80404	195
Q15532	14
Q96GK7	128
P06311	36
Q2M3D2	1
O95777	51
Q13564	184
Q8WWA0	4
Q13563	2
Q13561	346
Q9BWJ5	42
Q9BY08	1
Q8NE62	26
H7BZW1	18
Q9Y277	302
